arm,state,seed,run_id,fidelity,gate_count,depth,two_qubit_gates,raw_two_qubit_gates,raw_gate_count,raw_depth,raw_fitness,stop_reason,early_stopped_gen
tournament,010,74135,6,0.9753,10,5,2,2,25,11,0.22470000000000007,"Hardware targets achieved: fidelity=0.975, gates=10, depth=5",15
tournament,010,91197,9,0.9766,10,5,2,2,27,11,0.2234,"Hardware targets achieved: fidelity=0.977, gates=10, depth=5",15
tournament,010,33537,4,0.9776,8,5,1,4,41,19,0.18239999999999998,"Hardware targets achieved: fidelity=0.978, gates=8, depth=5",46
tournament,010,12147,3,0.9609,14,8,2,2,25,11,0.31910000000000005,"Hardware targets achieved: fidelity=0.961, gates=14, depth=8",15
tournament,010,67154,7,0.9791,10,5,2,2,25,11,0.22090000000000004,"Hardware targets achieved: fidelity=0.979, gates=10, depth=5",21
tournament,010,70300,5,0.9778,11,6,1,4,42,19,0.2422,"Hardware targets achieved: fidelity=0.978, gates=11, depth=6",65
tournament,010,29440,10,0.978,26,14,5,5,40,19,0.542,completed_all_generations,99
tournament,010,47182,2,0.9742,10,5,2,2,25,11,0.22580000000000006,"Hardware targets achieved: fidelity=0.974, gates=10, depth=5",15
tournament,010,80248,8,0.9846,5,3,0,4,42,19,0.11539999999999997,"Hardware targets achieved: fidelity=0.985, gates=5, depth=3",20
tournament,011,21315,1,0.9596,13,8,2,2,26,12,0.3004,"Hardware targets achieved: fidelity=0.960, gates=13, depth=8",33
tournament,011,74135,6,0.9766,25,14,5,5,42,21,0.5234,completed_all_generations,99
tournament,011,91197,9,0.9778,7,5,2,3,27,13,0.1622,"Hardware targets achieved: fidelity=0.978, gates=7, depth=5",17
tournament,011,33537,4,0.9767,13,9,1,4,45,22,0.2833,"Hardware targets achieved: fidelity=0.977, gates=13, depth=9",46
tournament,011,12147,3,0.977,14,8,1,4,42,20,0.30300000000000005,"Hardware targets achieved: fidelity=0.977, gates=14, depth=8",22
tournament,011,67154,7,0.9773,10,5,2,6,61,29,0.22270000000000006,"Hardware targets achieved: fidelity=0.977, gates=10, depth=5",21
tournament,011,70300,5,0.9797,22,15,5,5,41,19,0.4603,completed_all_generations,99
tournament,011,29440,10,0.9607,12,7,2,2,25,11,0.2793,"Hardware targets achieved: fidelity=0.961, gates=12, depth=7",19
tournament,011,47182,2,0.9603,12,7,2,2,25,11,0.27969999999999995,"Hardware targets achieved: fidelity=0.960, gates=12, depth=7",15
tournament,011,80248,8,0.9756,9,5,1,4,41,19,0.20439999999999997,"Hardware targets achieved: fidelity=0.976, gates=9, depth=5",25
tournament,100,21315,1,0.9619,13,6,2,2,25,11,0.29810000000000003,"Hardware targets achieved: fidelity=0.962, gates=13, depth=6",16
tournament,100,74135,6,0.983,7,4,0,4,44,21,0.15700000000000003,"Hardware targets achieved: fidelity=0.983, gates=7, depth=4",32
tournament,100,91197,9,0.9765,10,5,2,2,27,13,0.22349999999999998,"Hardware targets achieved: fidelity=0.977, gates=10, depth=5",15
